mavpackettype,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,_t,t
RCOU,9504530,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.459896,7.759395
RCOU,9544514,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.49988,7.799379
RCOU,9584498,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.539864,7.839363
RCOU,9624482,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.579848,7.879347
RCOU,9664466,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.619832,7.919331
RCOU,9704450,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.659816,7.959315
RCOU,9744434,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.6998003,7.999299
RCOU,9784418,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.7397842,8.039283
RCOU,9824402,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.7797682,8.079267
RCOU,9864386,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.8197522,8.119251
RCOU,9904370,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.8597362,8.159235
RCOU,9944354,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.8997202,8.199219
RCOU,9984338,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.9397042,8.239203
RCOU,10024322,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.9796882,8.279187
RCOU,10065139,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.0205052,8.320004
RCOU,10105123,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.0604892,8.359988
RCOU,10145107,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.1004732,8.399972
RCOU,10185091,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.1404572,8.439956
RCOU,10225075,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.1804411,8.47994
RCOU,10265059,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.2204251,8.519924
RCOU,10305043,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.260409,8.559908
RCOU,10345027,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.300393,8.599892
RCOU,10385011,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.340377,8.639876
RCOU,10424995,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.380361,8.67986
RCOU,10464979,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.420345,8.719844
RCOU,10504963,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.460329,8.759828
RCOU,10544947,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.500313,8.799812
RCOU,10584931,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.540297,8.839796
RCOU,10624915,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.580281,8.87978
RCOU,10664899,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.6202652,8.919764
RCOU,10704883,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.6602492,8.959748
RCOU,10744867,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.7002332,8.999732
RCOU,10784851,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.7402172,9.039716
RCOU,10824835,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.7802012,9.0797
RCOU,10864819,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.8201852,9.119684
RCOU,10904803,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.8601692,9.159668
RCOU,10944787,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.9001532,9.199652
RCOU,10984771,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.9401371,9.239636
RCOU,11024755,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451519.9801211,9.27962
RCOU,11064739,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.0201051,9.319604
RCOU,11104723,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.060089,9.359588
RCOU,11144707,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451520.100073,9.399572
