mavpackettype,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,_t,t
IMU,34724438,0,0.5175320506095886,-0.2089136242866516,0.09315329790115356,2.0582499504089355,-0.4800233244895935,-2.6947100162506104,0,0,27.178678512573242,1,1,1000,1000,1768451543.679804,32.979303
IMU,34744430,1,0.5130635499954224,-0.20649975538253784,0.0940556451678276,2.0779480934143066,-0.47306573390960693,-2.693955659866333,0,0,27.179805755615234,1,1,760,799,1768451543.6997962,32.999295
IMU,34744430,0,0.5129787921905518,-0.20539721846580505,0.09423068165779114,2.0477752685546875,-0.4955631494522095,-2.727620840072632,0,0,27.179866790771484,1,1,1000,1000,1768451543.6997962,32.999295
IMU,34764422,0,0.5174466371536255,-0.18734923005104065,0.09520606696605682,1.9795575141906738,-0.6705361604690552,-2.7626867294311523,0,0,27.181055068969727,1,1,1000,1000,1768451543.719788,33.019287
IMU,34764422,1,0.5171956419944763,-0.18728944659233093,0.09529711306095123,2.0354511737823486,-0.6744964718818665,-2.7847959995269775,0,0,27.180994033813477,1,1,760,799,1768451543.719788,33.019287
IMU,34784414,0,0.5122419595718384,-0.1670038402080536,0.09972896426916122,1.866668701171875,-0.7226095199584961,-2.8996033668518066,0,0,27.182241439819336,1,1,1000,1000,1768451543.7397802,33.039279
IMU,34784414,1,0.512200117111206,-0.16708305478096008,0.09961508959531784,1.9241232872009277,-0.6608572006225586,-2.8479998111724854,0,0,27.18218231201172,1,1,760,799,1768451543.7397802,33.039279
IMU,34804406,1,0.5182525515556335,-0.13746203482151031,0.10105551779270172,1.7799237966537476,-0.6236780881881714,-3.3127567768096924,0,0,27.18337059020996,1,1,760,799,1768451543.759772,33.059271
IMU,34804406,0,0.5182963609695435,-0.13657471537590027,0.10073000192642212,1.7886136770248413,-0.6785364151000977,-3.3279311656951904,0,0,27.183429718017578,1,1,1000,1000,1768451543.759772,33.059271
IMU,34824398,1,0.5285350680351257,-0.12082429230213165,0.10424186289310455,1.5518171787261963,-0.7950083017349243,-3.941145896911621,0,0,27.184558868408203,1,1,760,799,1768451543.7797642,33.079263
